               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12018,            0.036261,                   0,           0.0023195,             0.34034,           0.0026883,          0.00081169,             0.11438,            0.027771,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.11501,            0.033558,                   0,           0.0065451,              0.2521,           0.0034074,           0.0010044,             0.10852,            0.027983,                   0,            0.086497,            0.001497,            0.001497
                   2,             0.10772,            0.033834,                   0,           0.0022314,             0.34034,            0.003687,          0.00090204,             0.10353,            0.025226,                   0,            0.079291,           0.0022909,           0.0022909
                   3,             0.10447,             0.03246,                   0,            0.002259,             0.34454,           0.0025783,          0.00076891,             0.10106,             0.02467,                   0,            0.072082,           0.0030816,           0.0030816
                   4,            0.098343,            0.030546,                   0,           0.0026446,             0.40336,           0.0047799,           0.0013879,            0.095931,            0.025247,                   0,            0.064869,           0.0038691,           0.0038691
                   5,            0.094148,            0.032354,                   0,           0.0024518,             0.37395,           0.0055955,           0.0015086,            0.093125,            0.024777,                   0,            0.057653,           0.0046535,           0.0046535
                   6,            0.089117,            0.031115,                   0,           0.0025895,             0.39496,           0.0057949,           0.0017216,            0.090866,            0.025532,                   0,            0.050435,           0.0054347,           0.0054347
                   7,            0.086986,            0.033521,                   0,           0.0025895,             0.39496,            0.004925,           0.0013827,            0.088812,            0.027658,                   0,            0.043213,           0.0062127,           0.0062127
                   8,            0.081873,            0.034461,                   0,            0.002562,             0.39076,           0.0097805,           0.0031808,            0.088172,            0.025183,                   0,            0.035988,           0.0069875,           0.0069875
                   9,            0.079262,            0.035807,                   0,           0.0029201,             0.44538,           0.0069448,           0.0020965,            0.085912,             0.02591,                   0,            0.028759,           0.0077592,           0.0077592
                  10,             0.07739,            0.037761,                   0,           0.0030218,             0.35714,           0.0070403,           0.0019227,            0.087603,             0.02549,                   0,            0.021528,           0.0085277,           0.0085277
                  11,            0.079243,            0.037253,                   0,            0.008578,             0.13025,           0.0047364,           0.0013237,            0.089294,            0.028443,                   0,            0.014293,           0.0092931,           0.0092931
                  12,            0.077476,            0.033528,                   0,            0.012184,             0.10924,           0.0058331,           0.0017336,            0.087456,            0.025143,                   0,           0.0097624,           0.0097624,           0.0097624
                  13,            0.075548,            0.033906,                   0,           0.0030579,             0.46639,           0.0090591,           0.0019878,            0.089423,            0.024716,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.073229,             0.03794,                   0,           0.0029332,             0.41176,            0.014645,           0.0035248,            0.086559,            0.026863,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.069436,            0.038207,                   0,            0.027015,             0.18908,            0.015783,           0.0041499,            0.082993,            0.025828,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.069768,            0.033257,                   0,            0.052069,             0.15126,            0.018256,           0.0056559,            0.088268,            0.023741,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.067974,            0.035892,                   0,            0.069533,             0.13445,            0.023161,           0.0067073,            0.079559,            0.027781,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,             0.06609,            0.036609,                   0,              0.1082,            0.067227,            0.020793,            0.006352,            0.080966,            0.030329,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,             0.06655,            0.037459,                   0,             0.12128,            0.037815,            0.018322,           0.0064186,            0.086291,            0.029742,                   0,           0.0096436,           0.0096436,           0.0096436
