               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.052166,            0.034959,                   0,             0.20019,             0.18487,             0.11786,            0.041955,            0.058189,            0.029952,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.053078,            0.036561,                   0,             0.19635,             0.19748,             0.12714,            0.044962,            0.058815,            0.029281,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.054439,            0.035208,                   0,             0.22176,             0.21008,             0.13185,            0.047874,            0.057642,            0.029465,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.051363,              0.0348,                   0,              0.2071,             0.21429,             0.13205,            0.048861,            0.057156,            0.029527,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.051806,            0.032999,                   0,             0.19532,             0.19328,             0.10554,             0.03913,            0.059077,            0.029332,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.05017,            0.032675,                   0,             0.19785,             0.19328,             0.10606,            0.036727,            0.059983,            0.029335,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.051506,            0.034166,                   0,             0.20178,             0.19748,             0.11192,            0.039627,            0.058811,            0.029306,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.050404,            0.036948,                   0,             0.22018,              0.2395,             0.13168,              0.0471,            0.058052,            0.029409,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.049034,            0.032944,                   0,             0.26643,             0.23529,             0.13837,            0.047093,            0.058005,            0.029046,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.048153,             0.03336,                   0,             0.27352,             0.22689,             0.13193,            0.045184,             0.05819,            0.029145,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.049619,            0.031266,                   0,             0.23811,             0.20588,              0.1273,            0.042667,            0.058122,            0.028995,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.049935,            0.033848,                   0,             0.25983,             0.21429,             0.13625,            0.045201,            0.057939,            0.028759,                   0,            0.000496,            0.000496,            0.000496
